"StudentId","CoachName","FirstGen","Race","Disability","Classification","SevenTargetSchools","NotifiedStudent","ScholarshipMatchingComplete","ScholarshipEssay","ScholarshipDeadlines","ScholarshipEssay3","ReviewOfEssay","AdmissonDealines","Rejected","Waitlisted","Accepted","CollegePacketComplete","CoachFinalReview","Lor","Interview","Award","CompletedFafsa","Resume"
"ASCCQ","Kayla",true,"Black ",false,"Senior",true,false,true,true,"""March 4"," June 15th"," Oct.31st","Date(S)","EARLY DECISION ",true,"DATE(S)",false,"N","Y","WATING FOR STUDENT",,,
"ASCCN","Kayla",true,"Black ",false,"Senior",true,false,true,true,"""March 4"," June 15th"," Oct.31st","Date(S)","EARLY DECISION ",true,"DATE(S)",false,"N","Y","WATING FOR STUDENT",,,
"ASCCG","Kayla",true,"Black ",false,"Senior",true,false,true,true,"""March 4"," June 15th"," Oct.31st","Date(S)","EARLY DECISION ",true,"DATE(S)",false,"N","Y","WATING FOR STUDENT",,,
"ASCCU","Kayla",true,"Black ",false,"Senior",true,false,true,true,"""March 4"," June 15th"," Oct.31st","Date(S)","REGULAR DECISION",true,"DATE(S)",false,"N","Y","WATING FOR STUDENT",,,
"ASCCH","Kayla",true,"White",true,"Senior",true,true,true,true,"""Oct. 31st"," Jan. 5""","","Y","DATE(S)",false,false,true,"","Wating for Student",true,,"REGULAR DECISION","TEACHER"
"ASCCX","Val",false,"White",false,"Senior",true,true,true,true,"Dec. 1st","","Date(S)","Date(S)",false,false,true,,"Wating for Student","Teacher",false,2,true,true
"ASCCM","Val",true,"Black ",false,"Senior",true,true,true,true,"Dec. 1st","","Date(S)","Date(S)",false,false,true,,"Wating for Student","Teacher",false,2,true,true
"ASCCL","Val",false,"Asian ",false,"Senior",true,true,true,true,"Dec. 1st","","Date(S)","Date(S)",false,false,true,,"Wating for Student","Teacher",false,5,true,true
"ASCCC","Val",true,"Black ",false,"Senior",true,true,true,true,"Dec. 1st","","Date(S)","Date(S)",false,false,true,,"Wating for Student","Teacher",false,4,true,true
"ASCC3","Val",true,"Black ",false,"Grad",true,true,true,true,"""April 1st"," June 1st"," Oct. 1st","Date(S)","EARLY ACTION",true,"DATE(S)",false,"N","Y",true,,,
